time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1786280280118246100,-1.70175390625,31.320689839720725,-1,-1,51.80579580951714,31.730689836144446,-1,20.609980927825635,63.627985141069324,46.40250493493071,-1
1786280281842066200,0.022066162109375,32.119553729045485,1.9153155088424683,-1,51.80584518944653,32.529553725469206,-1,155.23112186481228,300,46.402482963074675,1.2501627206802368
1786280282299619000,0.479619140625,27.778649009151223,0.9754124283790588,-1,51.80614017583141,28.188649005574945,-1,54.86590496947806,93.64205169677734,46.40230781789814,0
1786280283299636000,1.479635986328125,30.395378939001063,0.7810856699943542,-1,51.80598538595282,30.805378935424784,-1,22.39399590964861,32.10768508911133,46.40232990894984,0
1786280284299652600,2.479652587890625,30.881444903476734,0.41096043586730957,-1,51.8059272500221,31.291444899900455,-1,16.227275850850727,3,46.40238091659275,0.14351247251033783
1786280285299669200,3.479669189453125,30.49308846957475,0.3620130717754364,-1,51.805923227932055,30.903088465998472,-1,11.909018944300279,3,46.40235815104666,0.552222728729248
1786280286299685000,4.47968505859375,30.639391201328753,0.3605726361274719,-1,51.80590793138381,31.049391197752474,-1,8.186143294726193,3,46.40236135724062,0.552222728729248
1786280287299653000,5.479653076171875,31.07380471457608,0.34685930609703064,-1,51.8059004700402,31.483804710999802,-1,5.500591361740948,3,46.40234796972903,0.13401606678962708
1786280288299650300,6.479650390625,31.23746476153325,0.3230525851249695,-1,51.80589702819979,31.64746475795697,-1,4.456886823215617,3,46.40234213023712,0.1258377581834793
1786280289024663000,7.2046630859375,31.29672756930606,0.3197292983531952,-1,51.805893954234314,31.706727565729782,-1,4.145974289707159,3,46.402335609708686,0.07097239047288895
1786280290023607600,8.203607666015625,31.096157998503614,0.35821449756622314,-1,51.80588563852248,31.506157994927335,-1,4.157644854643676,3,46.4023238348252,0.15757226943969727
1786280291022122800,9.202122802734374,31.216031735664405,0.29643794894218445,-1,51.80588248232102,31.626031732088126,-1,4.1806971188949325,3,46.40231071482516,0.183319091796875
1786280292020709600,10.200709716796876,31.33743217555957,0.30747953057289124,-1,51.80588754420281,31.74743217198329,-1,4.179240512109579,3,46.40231183022192,0.08068764954805374
1786280293019356400,11.1993564453125,31.469793573595688,0.3172055780887604,-1,51.80588924630922,31.87979357001941,-1,3.808515791748029,3,46.40231408813736,0.20396345853805542
1786280294018005000,12.1980048828125,31.469793644733727,0.31720557808876026,179.99999999999986,51.80589107941565,31.87979364115745,4.522117604054907e-15,4.7486515301917605,3,46.40231408813736,0.2039634585380553
1786280295016672300,13.19667236328125,31.554021592251956,0.3572736084461209,180,51.80589338007649,31.964021588675678,2.3436769591914255e-15,4.748651530191761,3.2561404197081787,46.40231358059772,0.2378578782081602
1786280296015565800,14.19556591796875,31.45033040922135,0.32598784565925565,179.99999999999912,51.80589822469361,31.860330405645072,1.634393604580983e-15,4.748651530191762,3.480033692944419,46.40231589532332,0.2947870790958402
1786280297014512600,15.1945126953125,31.22402601595968,0.33466306328773476,179.99999999999977,51.80590306195609,31.6340260123834,5.097691410439925e-15,4.748651530191762,3.680013357317818,46.402327987436244,0.24955184757709487
1786280298013586000,16.1935859375,31.002387733198702,0.39198392066750787,-1,51.80590421666307,31.412387729622424,-1,4.748651530191761,3.903931183669113,46.402333898311895,0.09741871058940887
1786280299012683300,17.192683349609375,30.78440606314689,0.3238618969917296,180,51.805908646909586,31.19440605957061,9.210949327579026e-15,4.748651530191762,4.028173576523491,46.402339119208875,0.19591647386550898
1786280300011840300,18.19184033203125,30.7844060594216,0.3427993357181549,180,51.80590688613203,31.19440605584532,9.210949327579023e-15,4.748651530191761,4.299010923083915,46.402339119208875,0
1786280301011027000,19.19102685546875,30.634024144150317,0.33534732460975614,180,51.805907586051575,31.044024140574038,0,4.748651530191762,3.788657226548675,46.40234360491555,0.2795935869216916
1786280302010325500,20.190325439453126,30.69887426868081,0.32825592160224903,179.99999999999883,51.80590743899192,31.108874265104532,0,4.748651530191762,3.8147674781050247,46.40234283888993,0.21522030234336842
1786280303009666300,21.189666259765627,31.022755509242415,0.31952711939811684,180,51.805905583617985,31.432755505666137,1.1942707574483995e-15,4.748651530191762,4.250388115538304,46.402337765825806,0.2355712950229643
1786280304009047800,22.1890478515625,31.022755505517125,0.3119734525680542,180,51.80590346639295,31.432755501940846,1.1942707574483985e-15,4.748651530191761,4.4188794689448345,46.402337765825806,0
1786280305008469000,23.188468994140624,31.241099431179464,0.31979650259017894,180,51.80590034326147,31.651099427603185,6.628814876669596e-16,4.748651530191761,3.368318217894213,46.40233784130062,0.3457123637199397
1786280306007930400,24.187930419921877,31.392658226191998,0.3316903114318845,179.99999999999937,51.8058961371307,31.80265822261572,0,4.748651530191761,3.1329437952617725,46.40233665944909,0.2637110352516172
1786280307007421400,25.18742138671875,31.39265821967274,0.34402355551719666,180,51.80589376699633,31.80265821609646,0,4.748651530191761,3.433809856621374,46.40233665944909,0
1786280308006945300,26.1869453125,31.39265821967274,0.3757510483264923,180,51.80589376699633,31.80265821609646,0,4.748651530191762,3,46.40233665944909,0
1786280309006498600,27.18649853515625,31.39265821967274,0.38843584060668945,180,51.80589376699633,31.80265821609646,0,4.748651530191761,3,46.40233665944909,0
1786280310006080000,28.186080078125,31.39265821967274,0.34107789397239685,180,51.80589376699633,31.80265821609646,0,4.748651530191761,3,46.40233665944909,0
1786280311005689300,29.185689453125,31.39265821967274,0.32646310329437256,180,51.80589376699633,31.80265821609646,0,4.748651530191762,3,46.40233665944909,0
1786280312005321000,30.185321044921874,31.39265821967274,0.35576507449150085,180,51.80589376699633,31.80265821609646,0,4.748651530191761,3,46.40233665944909,0
1786280313004978700,31.184978759765624,31.39265821967274,0.36979009550424724,-1,51.80589376699633,31.80265821609646,-1,4.748651530191761,3.5365881177368204,46.40233665944909,0
1786280314004656400,32.184656494140626,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2,3,46.40233665944909,0
1786280315004355000,33.18435498046875,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2,3,46.40233665944909,0
1786280316004071200,34.1840712890625,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2,3,46.40233665944909,0
1786280317003806500,35.18380639648438,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.594607271294473,3,46.40233665944909,0
1786280318003558700,36.18355859375,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.989565131506429,3,46.40233665944909,0
1786280319003326200,37.183326171875,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.824637609588691,3,46.40233665944909,0
1786280320003108900,38.18310888671875,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.8863266229194884,3,46.40233665944909,0
1786280321002905000,39.182905029296876,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.8894887596424224,3,46.40233665944909,0
1786280322002715100,40.18271508789063,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.8848526421917775,3,46.40233665944909,0
1786280323002534700,41.18253466796875,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.9079289123439986,3,46.40233665944909,0
1786280324002367500,42.18236743164063,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.986163696950861,3,46.40233665944909,0
1786280325002211600,43.18221166992188,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.9468731931541776,3,46.40233665944909,0
1786280326002065200,44.182065185546875,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.874036793680779,3,46.40233665944909,0
1786280327000927500,45.180927490234374,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.8364660878936525,3,46.40233665944909,0
1786280328000800300,46.18080029296875,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.8381050733552704,3,46.40233665944909,0
1786280329000678700,47.1806787109375,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.8150421704777693,3,46.40233665944909,0
1786280330000567800,48.18056787109375,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.8150421704777693,3,46.40233665944909,0
1786280331000462000,49.18046215820313,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.8174412118312517,3,46.40233665944909,0
1786280332000362200,50.1803623046875,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.8393494891781215,3,46.40233665944909,0
1786280333000270300,51.18027026367187,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.861830976222218,3,46.40233665944909,0
1786280334000183600,52.18018359375,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.8187394274111073,3,46.40233665944909,0
1786280335000103400,53.180103515625,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.803198153366931,3,46.40233665944909,0
1786280336000028200,54.18002807617187,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.763038245698584,3,46.40233665944909,0
1786280336999958000,55.1799580078125,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.7248863334136546,3,46.40233665944909,0
1786280337999891700,56.1798916015625,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.688642016742972,3,46.40233665944909,0
1786280338999829500,57.17982958984375,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.654209915905823,3,46.40233665944909,0
1786280339999772400,58.1797724609375,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.6214994201105317,3,46.40233665944909,0
1786280340999719200,59.17971923828125,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.5904244491050052,3,46.40233665944909,0
1786280341999669500,60.17966943359375,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.5609032266497547,3,46.40233665944909,0
1786280342999623000,61.17962280273437,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.532858065317267,3,46.40233665944909,0
1786280343999579100,62.1795791015625,31.39265821967274,0.3080157138848601,-1,51.80589376699633,31.80265821609646,-1,2.506215162051404,3,46.40233665944909,0
